Марка|Модель|Модификация|Тип кузова|Год выпуска|Коллекция|Артикул|Количество мест|Материал|Поролон|Использование с боковыми Airbag|Карманы в спинках передних сидений|Вышивка Логотипа|Декоративная отстрочка|Чехол на задний подлокотник|Чехол на передний подлокотник|Доп. 1|Доп. 2|Цена Закупочная|Цена Крупный Опт|Цена Мелкий Опт|Цена Розничная
Citroen|C5|-|универсал|2001-2008|Premium|mch-0021|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Aveo|II|седан|2011-н.в.|Premium|mch-0025|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Aveo|II|хетчбэк|2011-н.в.|Premium|mch-0027|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Captiva|-|кроссовер|2006-н.в.|Premium|mch-0029|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Cruze|-|седан|2008-н.в.|Premium|mch-0031|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Cruze|-|хэтчбек|2011-н.в.|Premium|mch-0033|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Lacetti|-|седан|2004-н.в.|Premium|mch-0035|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Lacetti|-|хетчбэк|2004-н.в.|Premium|mch-0037|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Lanos|-|седан|2005-н.в.|Premium|mch-0040|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Niva|-|кроссовер|2002-2013|Premium|mch-0042|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Orlando|-|компактвэн|2010-2012|Premium|mch-0044|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Orlando|-|компактвэн|2010-2012|Premium|mch-0045|7|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|9100
Chevrolet|Orlando|-|компактвэн|2013-н.в.|Premium|mch-0046|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Chevrolet|Orlando|-|компактвэн|2013-н.в.|Premium|mch-0047|7|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|9100
Chevrolet|Spark|-|хэтчбек|2010-2013|Premium|mch-0049|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Daewoo|Gentra|-|седан|2013-н.в.|Premium|mch-0052|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Daewoo|Matiz|-|хэтчбек|1998-2000|Premium|mch-0054|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Daewoo|Matiz|-|хэтчбек|2000-н.в.|Premium|mch-0056|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Fiat|Albea|-|седан|2006-2013|Premium|mch-0059|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|II|седан|2004-2011|Premium|mch-0068|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|II|хэтчбек|2004-2011|Premium|mch-0069|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|II|универсал|2004-2011|Premium|mch-0070|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|III|седан|2011-2014|Premium|mch-0074|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|III|хэтчбек|2011-2014|Premium|mch-0075|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Focus|III|универсал|2011-2014|Premium|mch-0076|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Fusion|-|хэтчбек|2006-2012|Premium|mch-0078|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Fiesta|VI|хэтчбек|2008-н.в.|Premium|mch-0081|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Kuga|I|кроссовер|2008-2012|Premium|mch-0083|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|III|седан|2000-2007|Premium|mch-0099|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|III|универсал|2000-2007|Premium|mch-0100|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|III|хэтчбек|2000-2007|Premium|mch-0101|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|IV|седан|2007-2013|Premium|mch-0105|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|IV|универсал|2007-2013|Premium|mch-0106|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|IV|хэтчбек|2007-2013|Premium|mch-0107|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ford|Mondeo|V|седан|2013-н.в.|Premium|mch-0108|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Geely|Emgrand|X7|кроссовер|2013-н.в.|Premium|mch-0109|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Great Wall|Hover|H3|кроссовер|2010-н.в.|Premium|mch-0114|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Great Wall|Hover|H5|кроссовер|2010-н.в.|Premium|mch-0115|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|Салон H3|-|-|-|-|6490
Honda|Accord|-|седан|2002-2007|Premium|mch-0116|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Honda|CR-V|I|кроссовер|1995-2001|Premium|mch-0117|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Honda|CR-V|III|кроссовер|2006-2012|Premium|mch-0119|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Honda|Civic|VIII|хэтчбек|2006-2011|Premium|mch-0122|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Accent|-|седан|2000-2012|Premium|mch-0125|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Elantra|V|седан|2011-2014|Premium|mch-0131|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Getz|-|хэтчбек|2005-2011|Premium|mch-0134|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Santa Fe|-|кроссовер|2006-2012|Premium|mch-0137|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Santa Fe|-|кроссовер|2012-н.в.|Premium|mch-0138|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Solaris|-|седан|2011-2014|Premium|mch-0139|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Solaris|-|седан|2011-2014|Premium|mch-0141|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Sonata|V|седан|2004-2009|Premium|mch-0145|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Sonata|VI|седан|2010-2013|Premium|mch-0146|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|i30|-|хэтчбек|2012-н.в.|Premium|mch-0148|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|ix35|-|кроссовер|2009-2013|Premium|mch-0149|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|i40|-|минивен|2011-н.в.|Premium|mch-0150|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Hyundai|Tucson|-|кроссовер|2004-2010|Premium|mch-0151|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Cerato|-|хэтчбек|2008-2013|Premium|mch-0154|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Cerato|-|седан|2008-2013|Premium|mch-0156|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Cerato|-|седан|2013-н.в.|Premium|mch-0157|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Ceed|-|хетчбэк|2006-2012|Premium|mch-0158|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Ceed|-|хетчбэк|2012-н.в.|Premium|mch-0160|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Spectra|-|седан|2000-2009|Premium|mch-0162|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Sportage|III|кроссовер|2010-н.в.|Premium|mch-0165|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Sorento|-|кроссовер|2009-н.в.|Premium|mch-0166|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Soul|-|кроссовер|2008-н.в.|Premium|mch-0168|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Rio|IV|седан|2011-н.в.|Premium|mch-0175|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Kia|Rio|IV|хетчбэк|2011-н.в.|Premium|mch-0177|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lifan|Solano|-|седан|2009-н.в.|Premium|mch-0178|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Lifan|XC-60|-|кроссовер|2011-н.в.|Premium|mch-0179|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|3|-|седан|2003-2009|Premium|mch-0182|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|3|-|хетчбэк|2003-2009|Premium|mch-0184|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|3|-|седан|2009-2013|Premium|mch-0185|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|3|-|хетчбэк|2009-2013|Premium|mch-0187|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|3|-|седан|2013-н.в.|Premium|mch-0188|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|6|-|седан|2008-2013|Premium|mch-0191|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|6|-|хетчбэк|2008-2013|Premium|mch-0193|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|6|-|седан|2013-н.в.|Premium|mch-0195|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|CX-5|-|кроссовер|2011-н.в.|Premium|mch-0196|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mazda|CX-7|-|кроссовер|2006-2012|Premium|mch-0197|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |ASX|-|кроссовер|2010-н.в.|Premium|mch-0200|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Lancer|IX|седан|2000-2007|Premium|mch-0204|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Lancer|X|седан|2007-2012|Premium|mch-0207|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Outlander|II (XL)|кроссовер|2005-н.в.|Premium|mch-0210|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Outlander|III|кроссовер|2012-н.в.|Premium|mch-0212|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Pajero|IV|внедорожник|2006-н.в.|Premium|mch-0215|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Pajero Sport|I|внедорожник|1996-2009|Premium|mch-0217|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |Pajero Sport|II|внедорожник|2008-н.в.|Premium|mch-0218|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Mitsubishi |L200|-|пикап|2006-н.в.|Premium|mch-0220|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Almera|N16|седан|2000-2006|Premium|mch-0227|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Almera|N16|хэтчбек|2000-2006|Premium|mch-0229|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Almera|Classic|седан|2006-2013|Premium|mch-0231|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Almera|N17|седан|2014-н.в.|Premium|mch-0232|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Juke|-|кроссовер|2010-н.в.|Premium|mch-0233|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Note |-|хэтчбек|2004-н.в.|Premium|mch-0235|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Primera|P12|седан|2002-2006|Premium|mch-0241|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Primera|P12|хэтчбек|2002-2006|Premium|mch-0242|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Primera|P12|универсал|2002-2006|Premium|mch-0243|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Pathfinder|-|внедорожник|2005-н.в.|Premium|mch-0244|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Tiida|-|седан|2004-н.в.|Premium|mch-0246|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Tiida|C12|хэтчбек|2011-н.в.|Premium|mch-0247|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Qashqai|-|кроссовер|2007-2013|Premium|mch-0249|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Qashqai|-|кроссовер|2014-н.в.|Premium|mch-0250|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|Qashqai|+2|кроссовер|2010-2013|Premium|mch-0253|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|X-Trail|T30|внедорожник|2001-2007|Premium|mch-0255|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Nissan|X-Trail|T31|внедорожник|2008-н.в.|Premium|mch-0257|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Antara|-|кроссовер|2007-н.в.|Premium|mch-0258|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Astra|H (GTC)|хэтчбек 3 дв.|2004-н.в.|Premium|mch-0260|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Astra|H|седан 5 дв.|2004-н.в.|Premium|mch-0262|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Astra|H|хэтчбек 5 дв.|2004-н.в.|Premium|mch-0264|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Astra|J (GTC)|хэтчбек 3 дв.|2011-н.в.|Premium|mch-0266|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Astra|J|хэтчбек 5 дв.|2009-н.в.|Premium|mch-0267|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Corsa|D|хэтчбек 3 дв.|2006-н.в.|Premium|mch-0268|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Corsa|D|хэтчбек 5 дв.|2006-н.в.|Premium|mch-0270|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Insignia|-|седан|2009-н.в.|Premium|mch-0271|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Insignia|-|универсал|2009-н.в.|Premium|mch-0272|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Meriva|A|седан|2003-2010|Premium|mch-0273|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Meriva|B|седан|2010-н.в.|Premium|mch-0274|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Zafira|B|минивен|2005-н.в.|Premium|mch-0280|5|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Opel|Zafira|B|минивен|2005-н.в.|Premium|mch-0282|7|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|9100
Peugeot|408|-|универсал|2012-н.в.|Premium|mch-0287|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Duster|-|кроссовер|2010-н.в.|Premium|mch-0291|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Fluence|-|седан|2009-н.в.|Premium|mch-0293|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Logan|I|седан|2004-2013|Premium|mch-0295|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Logan|II|седан|2013-н.в.|Premium|mch-0296|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Megane|II|хэтчбек|2002-2008|Premium|mch-0298|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Megane|III|хэтчбек|2008-н.в.|Premium|mch-0300|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Renault|Sandero|I|кроссовер|2008-н.в.|Premium|mch-0302|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Seat|Ibiza|IV|хэтчбек|2008-н.в.|Premium|mch-0305|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Fabia|II|хэтчбек|2007-н.в.|Premium|mch-0306|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Octavia Tour|II|универсал|2004-2008|Premium|mch-0309|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Octavia|A5|седан|2004-2013|Premium|mch-0311|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Octavia|A7|седан|2013-н.в.|Premium|mch-0312|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Rapid|-|седан|2013-н.в.|Premium|mch-0313|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Skoda|Yeti|-|кроссовер|2009-н.в.|Premium|mch-0315|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ssang Yong|Actyon|New|кроссовер|2012-н.в.|Premium|mch-0319|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Ssang Yong|Kyron|II|внедорожник|2008-н.в.|Premium|mch-0322|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Subaru|Forester|III|кроссовер|2008-2012|Premium|mch-0324|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Suzuki|Grant Vitara|II|внедорожник|2005-н.в.|Premium|mch-0329|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Suzuki|SX4|-|кроссовер|2006-2013|Premium|mch-0331|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Avensis|II (T250)|седан|2003-2008|Premium|mch-0333|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Auris|E150|хэтчбек|2006-2012|Premium|mch-0336|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Camry|VI (XV40)|седан|2006-2011|Premium|mch-0338|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Camry|VII (XV50)|седан|2011-н.в.|Premium|mch-0339|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E12|седан|2001-2007|Premium|mch-0342|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E12|хэтчбек|2001-2007|Premium|mch-0344|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|30N/MC|седан|2007-2013|Premium|mch-0346|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Corolla|E170|седан|2013-н.в.|Premium|mch-0347|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Highlander|II|кроссовер|2008-2014|Premium|mch-0349|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Hilux|VII (N2)|пикап|2004-н.в.|Premium|mch-0351|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
Toyota|Land Cruiser Prado|J120|внедорожник|2002-2009|Premium|mch-0352|-|экокожа|5мм|Да|Да|Да|Двойная, шелковыми нитями|-|-|-|-|-|-|-|6490
